# name, tgt sunk, tgt tons, subsDmgd, subsSunk, subsSpotted, subsRTB, subsPromoted
Wolfpack WF0(4 boats),6,34,0,0,0,0,0
Wolfpack WF1(4 boats),2,11,0,1,0,0,0
Wolfpack WF2(4 boats),1,5,3,0,1,1,1
Wolfpack WF3(4 boats),5,30,0,0,0,0,0
Wolfpack WF4(4 boats),3,19,0,0,0,0,0
Wolfpack WF5(4 boats),3,15,0,0,0,0,0
Wolfpack WF6(4 boats),2,10,1,0,1,0,0
Wolfpack WF7(4 boats),6,29,0,0,0,0,0
Wolfpack WF8(4 boats),5,28,0,0,0,0,0
Wolfpack WF9(4 boats),1,8,0,0,1,0,0
Wolfpack WF10(4 boats),2,11,3,0,0,1,1
Wolfpack WF11(4 boats),3,15,0,1,0,0,0
Wolfpack WF12(4 boats),5,40,0,0,0,0,0
Wolfpack WF13(4 boats),3,20,0,0,0,0,0
Wolfpack WF14(4 boats),2,8,0,0,0,0,0
Wolfpack WF15(4 boats),6,42,0,0,0,0,0
Wolfpack WF16(4 boats),3,18,0,0,0,0,0
Wolfpack WF17(4 boats),4,27,1,0,0,0,0
Wolfpack WF18(4 boats),3,16,2,0,0,1,1
Wolfpack WF19(4 boats),9,52,0,0,0,0,0
Wolfpack WF20(4 boats),6,28,0,0,0,0,0
Wolfpack WF21(4 boats),3,17,1,0,0,0,0
Wolfpack WF22(4 boats),3,20,2,0,1,1,1
Wolfpack WF23(4 boats),4,19,1,0,2,0,0
Wolfpack WF24(4 boats),2,13,0,0,1,0,0
Wolfpack WF25(4 boats),2,10,1,0,1,0,0
Wolfpack WF26(4 boats),4,29,0,0,0,0,0
Wolfpack WF27(4 boats),5,23,0,0,0,0,0
Wolfpack WF28(4 boats),3,18,2,0,0,0,0
Wolfpack WF29(4 boats),8,47,0,0,0,0,0
Wolfpack WF30(4 boats),5,40,1,0,0,1,1
Wolfpack WF31(4 boats),3,13,2,0,1,0,0
Wolfpack WF32(4 boats),6,37,2,0,0,0,0
Wolfpack WF33(4 boats),3,17,3,0,0,1,1
Wolfpack WF34(4 boats),2,10,1,0,2,0,0
Wolfpack WF35(4 boats),4,23,1,0,1,0,0
Wolfpack WF36(4 boats),4,20,2,0,1,0,0
Wolfpack WF37(4 boats),4,30,0,0,0,0,0
Wolfpack WF38(4 boats),2,12,2,0,0,0,0
Wolfpack WF39(4 boats),4,25,1,0,0,0,0
Wolfpack WF40(4 boats),3,21,0,0,0,0,0
Wolfpack WF41(4 boats),3,17,1,0,0,1,1
Wolfpack WF42(4 boats),1,3,1,1,1,2,2
Wolfpack WF43(4 boats),10,57,0,0,0,0,0
Wolfpack WF44(4 boats),5,33,1,0,1,0,0
Wolfpack WF45(4 boats),6,29,0,0,1,0,0
Wolfpack WF46(4 boats),1,8,3,0,0,1,1
Wolfpack WF47(4 boats),7,52,0,0,0,0,0
Wolfpack WF48(4 boats),4,20,0,0,0,0,0
Wolfpack WF49(4 boats),7,42,0,0,0,0,0
Wolfpack WF50(4 boats),4,23,1,0,1,0,0
Wolfpack WF51(4 boats),5,28,1,0,0,1,1
Wolfpack WF52(4 boats),2,9,2,0,0,0,0
Wolfpack WF53(4 boats),4,29,0,0,0,0,0
Wolfpack WF54(4 boats),4,32,1,0,0,1,1
Wolfpack WF55(4 boats),2,10,0,0,1,0,0
Wolfpack WF56(4 boats),4,27,0,0,0,0,0
Wolfpack WF57(4 boats),3,16,3,1,0,0,0
Wolfpack WF58(4 boats),3,17,1,0,0,0,0
Wolfpack WF59(4 boats),5,26,1,0,0,0,0
Wolfpack WF60(4 boats),5,39,0,0,0,0,0
Wolfpack WF61(4 boats),7,40,1,0,2,0,0
Wolfpack WF62(4 boats),6,34,0,0,0,0,0
Wolfpack WF63(4 boats),4,24,2,0,2,2,2
Wolfpack WF64(4 boats),1,7,0,0,0,0,0
Wolfpack WF65(4 boats),1,5,1,0,0,0,0
Wolfpack WF66(4 boats),1,5,1,1,1,1,1
Wolfpack WF67(4 boats),4,23,0,0,0,0,0
Wolfpack WF68(4 boats),5,35,0,0,0,0,0
Wolfpack WF69(4 boats),2,15,0,0,0,0,0
Wolfpack WF70(4 boats),5,34,2,0,0,0,0
Wolfpack WF71(4 boats),5,25,0,0,0,0,0
Wolfpack WF72(4 boats),2,12,0,0,0,0,0
Wolfpack WF73(4 boats),2,9,1,0,0,0,0
Wolfpack WF74(4 boats),6,31,1,0,0,1,1
Wolfpack WF75(4 boats),6,29,0,0,0,0,0
Wolfpack WF76(4 boats),8,58,0,0,0,0,0
Wolfpack WF77(4 boats),2,12,0,0,0,0,0
Wolfpack WF78(4 boats),0,0,1,0,2,0,0
Wolfpack WF79(4 boats),12,86,0,0,0,0,0
Wolfpack WF80(4 boats),8,39,0,0,0,0,0
Wolfpack WF81(4 boats),4,27,0,0,0,0,0
Wolfpack WF82(4 boats),8,44,0,0,0,0,0
Wolfpack WF83(4 boats),2,13,1,1,1,1,1
Wolfpack WF84(4 boats),4,21,0,0,0,0,0
Wolfpack WF85(4 boats),1,6,1,0,1,0,0
Wolfpack WF86(4 boats),4,22,0,0,0,0,0
Wolfpack WF87(4 boats),9,46,0,0,0,0,0
Wolfpack WF88(4 boats),2,15,1,0,0,0,0
Wolfpack WF89(4 boats),4,19,0,0,1,0,0
Wolfpack WF90(4 boats),7,44,0,0,0,0,0
Wolfpack WF91(4 boats),10,53,0,0,0,0,0
Wolfpack WF92(4 boats),7,38,0,0,0,0,0
Wolfpack WF93(4 boats),2,18,4,0,0,0,0
Wolfpack WF94(4 boats),7,39,0,0,0,0,0
Wolfpack WF95(4 boats),4,20,0,1,0,0,0
Wolfpack WF96(4 boats),9,48,2,0,0,1,1
Wolfpack WF97(4 boats),5,26,0,0,0,0,0
Wolfpack WF98(4 boats),7,30,0,0,0,0,0
Wolfpack WF99(4 boats),4,23,0,0,1,0,0
Wolfpack WF100(4 boats),3,22,0,0,0,0,0
Wolfpack WF101(4 boats),1,12,0,0,0,0,0
Wolfpack WF102(4 boats),3,37,1,0,0,0,0
Wolfpack WF103(4 boats),1,12,0,0,0,0,0
Wolfpack WF104(4 boats),7,57,0,0,1,0,0
Wolfpack WF105(4 boats),2,3,3,1,0,3,3
Wolfpack WF106(4 boats),3,14,0,0,0,0,0
Wolfpack WF107(4 boats),9,43,0,0,0,0,0
Wolfpack WF108(4 boats),4,20,2,0,0,0,0
Wolfpack WF109(4 boats),5,21,1,0,0,0,0
Wolfpack WF110(4 boats),7,40,0,0,0,0,0
Wolfpack WF111(4 boats),5,55,2,0,0,0,0
Wolfpack WF112(4 boats),1,8,0,0,1,0,0
Wolfpack WF113(4 boats),1,5,0,0,0,0,0
Wolfpack WF114(4 boats),3,21,0,0,0,0,0
Wolfpack WF115(4 boats),10,49,0,0,0,0,0
Wolfpack WF116(4 boats),4,23,0,0,1,0,0
Wolfpack WF117(4 boats),5,75,0,0,0,0,0
Wolfpack WF118(4 boats),3,17,0,0,0,0,0
Wolfpack WF119(4 boats),8,46,0,0,0,0,0
Wolfpack WF120(4 boats),4,20,0,0,0,0,0
Wolfpack WF121(4 boats),4,22,0,0,0,0,0
Wolfpack WF122(4 boats),5,40,1,0,0,0,0
Wolfpack WF123(4 boats),5,47,0,0,0,0,0
Wolfpack WF124(4 boats),5,20,2,0,0,0,0
Wolfpack WF125(4 boats),6,40,0,0,0,0,0
Wolfpack WF126(4 boats),4,29,2,0,0,1,1
Wolfpack WF127(4 boats),3,30,2,0,0,0,0
Wolfpack WF128(4 boats),4,25,2,0,0,0,0
Wolfpack WF129(4 boats),4,27,0,0,0,0,0
Wolfpack WF130(4 boats),5,49,0,0,0,0,0
Wolfpack WF131(4 boats),5,29,0,0,0,0,0
Wolfpack WF132(4 boats),1,7,0,0,0,0,0
Wolfpack WF133(4 boats),5,33,0,0,0,0,0
Wolfpack WF134(4 boats),7,40,0,0,0,0,0
Wolfpack WF135(4 boats),4,38,0,0,0,0,0
Wolfpack WF136(4 boats),1,7,0,0,1,0,0
Wolfpack WF137(4 boats),5,52,0,0,0,0,0
Wolfpack WF138(4 boats),5,52,0,0,0,0,0
Wolfpack WF139(4 boats),6,34,0,0,0,0,0
Wolfpack WF140(4 boats),5,30,1,1,0,0,0
Wolfpack WF141(4 boats),5,27,0,0,0,0,0
Wolfpack WF142(4 boats),4,39,1,0,0,0,0
Wolfpack WF143(4 boats),4,31,1,0,0,0,0
Wolfpack WF144(4 boats),4,42,0,0,1,0,0
Wolfpack WF145(4 boats),4,27,0,0,0,0,0
Wolfpack WF146(4 boats),5,31,2,0,0,0,0
Wolfpack WF147(4 boats),3,17,0,0,0,0,0
Wolfpack WF148(4 boats),3,32,2,0,0,0,0
Wolfpack WF149(4 boats),4,19,2,0,0,1,1
Wolfpack WF150(4 boats),1,2,3,0,0,0,0
Wolfpack WF151(4 boats),1,5,0,0,0,0,0
Wolfpack WF152(4 boats),6,40,0,1,1,0,0
Wolfpack WF153(4 boats),8,48,0,0,0,0,0
Wolfpack WF154(4 boats),5,31,1,0,1,0,0
Wolfpack WF155(4 boats),7,49,0,0,1,0,0
Wolfpack WF156(4 boats),4,32,0,0,0,0,0
Wolfpack WF157(4 boats),1,5,3,1,0,0,0
Wolfpack WF158(4 boats),4,33,0,1,1,0,0
Wolfpack WF159(4 boats),3,15,3,0,0,0,0
Wolfpack WF160(4 boats),6,35,1,0,0,0,0
Wolfpack WF161(4 boats),7,32,1,0,0,1,1
Wolfpack WF162(4 boats),4,27,0,0,1,0,0
Wolfpack WF163(4 boats),5,35,1,0,0,0,0
Wolfpack WF164(4 boats),5,34,0,0,0,0,0
Wolfpack WF165(4 boats),4,28,0,0,0,0,0
Wolfpack WF166(4 boats),5,24,0,0,0,0,0
Wolfpack WF167(4 boats),3,15,2,0,0,2,2
Wolfpack WF168(4 boats),6,28,1,0,0,1,1
Wolfpack WF169(4 boats),1,5,2,0,1,0,0
Wolfpack WF170(4 boats),2,4,2,0,1,1,1
Wolfpack WF171(4 boats),3,13,3,0,0,1,1
Wolfpack WF172(4 boats),5,26,0,0,0,0,0
Wolfpack WF173(4 boats),5,22,0,0,0,0,0
Wolfpack WF174(4 boats),5,27,1,0,0,1,1
Wolfpack WF175(4 boats),6,38,0,0,0,0,0
Wolfpack WF176(4 boats),4,23,1,0,0,0,0
Wolfpack WF177(4 boats),4,19,1,0,0,0,0
Wolfpack WF178(4 boats),4,21,0,0,0,0,0
Wolfpack WF179(4 boats),6,41,0,0,0,0,0
Wolfpack WF180(4 boats),5,22,2,0,0,0,0
Wolfpack WF181(4 boats),5,34,0,0,0,0,0
Wolfpack WF182(4 boats),4,33,0,0,0,0,0
Wolfpack WF183(4 boats),5,29,0,0,0,0,0
Wolfpack WF184(4 boats),5,22,1,0,0,1,1
Wolfpack WF185(4 boats),6,44,0,0,0,0,0
Wolfpack WF186(4 boats),7,35,1,0,0,0,0
Wolfpack WF187(4 boats),5,32,0,0,1,0,0
Wolfpack WF188(4 boats),7,46,0,0,0,0,0
Wolfpack WF189(4 boats),4,20,2,0,1,1,1
Wolfpack WF190(4 boats),5,19,0,0,0,0,0
Wolfpack WF191(4 boats),9,82,0,0,0,0,0
Wolfpack WF192(4 boats),6,41,0,0,0,0,0
Wolfpack WF193(4 boats),6,32,1,0,0,0,0
Wolfpack WF194(4 boats),2,15,1,0,0,0,0
Wolfpack WF195(4 boats),3,14,0,0,1,0,0
Wolfpack WF196(4 boats),6,37,1,0,2,0,0
Wolfpack WF197(4 boats),4,21,1,0,0,1,1
Wolfpack WF198(4 boats),2,20,1,0,1,1,1
Wolfpack WF199(4 boats),2,12,1,0,1,0,0
Wolfpack WF200(4 boats),2,10,3,1,0,0,0
Wolfpack WF201(4 boats),3,13,0,0,0,0,0
Wolfpack WF202(4 boats),2,13,1,1,1,1,1
Wolfpack WF203(4 boats),0,0,1,0,0,0,0
Wolfpack WF204(4 boats),5,37,0,0,0,0,0
Wolfpack WF205(4 boats),2,11,0,0,0,0,0
Wolfpack WF206(4 boats),4,19,2,0,1,1,1
Wolfpack WF207(4 boats),6,27,0,0,0,0,0
Wolfpack WF208(4 boats),1,5,3,0,0,0,0
Wolfpack WF209(4 boats),3,16,1,0,1,1,1
Wolfpack WF210(4 boats),3,15,1,0,0,0,0
Wolfpack WF211(4 boats),2,12,0,0,1,0,0
Wolfpack WF212(4 boats),4,23,0,0,0,0,0
Wolfpack WF213(4 boats),5,34,1,1,0,0,0
Wolfpack WF214(4 boats),5,20,1,0,0,1,1
Wolfpack WF215(4 boats),1,3,1,1,1,0,0
Wolfpack WF216(4 boats),1,5,1,0,2,0,0
Wolfpack WF217(4 boats),2,11,1,0,1,0,0
Wolfpack WF218(4 boats),4,23,3,0,0,0,0
Wolfpack WF219(4 boats),1,4,2,0,0,2,2
Wolfpack WF220(4 boats),4,18,0,0,2,0,0
Wolfpack WF221(4 boats),3,19,2,0,2,1,1
Wolfpack WF222(4 boats),1,4,2,0,0,0,0
Wolfpack WF223(4 boats),5,26,1,0,0,0,0
Wolfpack WF224(4 boats),0,0,2,0,0,2,2
Wolfpack WF225(4 boats),5,23,0,1,0,0,0
Wolfpack WF226(4 boats),2,3,1,0,2,0,0
Wolfpack WF227(4 boats),6,27,0,0,0,0,0
Wolfpack WF228(4 boats),1,4,1,0,1,0,0
Wolfpack WF229(4 boats),3,19,2,0,1,2,2
Wolfpack WF230(4 boats),6,23,0,1,1,0,0
Wolfpack WF231(4 boats),6,38,1,0,0,0,0
Wolfpack WF232(4 boats),2,15,1,0,0,1,1
Wolfpack WF233(4 boats),5,30,0,0,0,0,0
Wolfpack WF234(4 boats),5,29,0,0,0,0,0
Wolfpack WF235(4 boats),1,7,2,0,2,1,1
Wolfpack WF236(4 boats),6,32,0,0,0,0,0
Wolfpack WF237(4 boats),3,16,0,0,3,0,0
Wolfpack WF238(4 boats),3,14,1,0,2,1,1
Wolfpack WF239(4 boats),5,24,0,1,1,0,0
Wolfpack WF240(4 boats),6,33,1,0,0,0,0
Wolfpack WF241(4 boats),2,10,2,0,0,0,0
Wolfpack WF242(4 boats),4,25,1,0,0,1,1
Wolfpack WF243(4 boats),6,30,2,0,1,1,1
Wolfpack WF244(4 boats),1,5,1,0,0,1,1
Wolfpack WF245(4 boats),2,9,0,1,1,0,0
Wolfpack WF246(4 boats),5,31,0,0,0,0,0
Wolfpack WF247(4 boats),6,39,0,0,0,0,0
Wolfpack WF248(4 boats),2,12,2,0,1,0,0
Wolfpack WF249(4 boats),3,28,0,1,0,0,0
Wolfpack WF250(4 boats),2,15,1,0,1,1,1
Wolfpack WF251(4 boats),3,17,1,0,0,0,0
Wolfpack WF252(4 boats),4,44,1,0,0,1,1
Wolfpack WF253(4 boats),3,32,1,0,1,1,1
Wolfpack WF254(4 boats),6,31,1,0,0,1,1
Wolfpack WF255(4 boats),3,28,0,0,0,0,0
Wolfpack WF256(4 boats),2,11,3,0,0,2,2
Wolfpack WF257(4 boats),2,13,1,0,0,0,0
Wolfpack WF258(4 boats),3,18,0,0,1,0,0
Wolfpack WF259(4 boats),4,25,0,0,1,0,0
Wolfpack WF260(4 boats),7,48,0,0,0,0,0
Wolfpack WF261(4 boats),3,21,0,0,0,0,0
Wolfpack WF262(4 boats),4,22,1,0,1,0,0
Wolfpack WF263(4 boats),3,26,0,0,0,0,0
Wolfpack WF264(4 boats),7,56,0,0,0,0,0
Wolfpack WF265(4 boats),1,9,2,0,0,1,1
Wolfpack WF266(4 boats),7,30,0,0,0,0,0
Wolfpack WF267(4 boats),3,20,0,0,0,0,0
Wolfpack WF268(4 boats),2,11,1,0,2,1,1
Wolfpack WF269(4 boats),2,15,0,0,0,0,0
Wolfpack WF270(4 boats),4,25,2,0,0,1,1
Wolfpack WF271(4 boats),3,22,0,0,0,0,0
Wolfpack WF272(4 boats),6,32,0,0,0,0,0
Wolfpack WF273(4 boats),6,44,0,0,0,0,0
Wolfpack WF274(4 boats),2,16,0,0,0,0,0
Wolfpack WF275(4 boats),6,44,3,0,0,0,0
Wolfpack WF276(4 boats),5,28,0,0,0,0,0
Wolfpack WF277(4 boats),4,25,2,1,0,0,0
Wolfpack WF278(4 boats),4,23,1,0,0,0,0
Wolfpack WF279(4 boats),3,21,0,0,0,0,0
Wolfpack WF280(4 boats),1,2,2,0,0,1,1
Wolfpack WF281(4 boats),5,36,0,0,0,0,0
Wolfpack WF282(4 boats),5,37,0,0,0,0,0
Wolfpack WF283(4 boats),6,29,0,0,0,0,0
Wolfpack WF284(4 boats),6,39,0,0,1,0,0
Wolfpack WF285(4 boats),5,47,0,0,0,0,0
Wolfpack WF286(4 boats),4,24,0,0,0,0,0
Wolfpack WF287(4 boats),5,42,0,0,0,0,0
Wolfpack WF288(4 boats),7,42,0,0,0,0,0
Wolfpack WF289(4 boats),6,55,0,0,0,0,0
Wolfpack WF290(4 boats),2,3,2,0,2,1,1
Wolfpack WF291(4 boats),3,13,0,0,0,0,0
Wolfpack WF292(4 boats),4,33,0,0,0,0,0
Wolfpack WF293(4 boats),3,14,0,0,0,0,0
Wolfpack WF294(4 boats),3,23,0,0,0,0,0
Wolfpack WF295(4 boats),6,31,0,0,0,0,0
Wolfpack WF296(4 boats),1,8,0,0,1,0,0
Wolfpack WF297(4 boats),6,29,0,0,0,0,0
Wolfpack WF298(4 boats),6,46,0,0,0,0,0
