# name, tgt sunk, tgt tons, subsDmgd, subsSunk, subsSpotted, subsRTB, subsPromoted
U-131(5-3-3),2,9,0,0,0,0,0
U-132(5-3-3),0,0,1,0,0,0,0
U-133(5-3-3),0,0,0,0,0,0,0
U-134(5-3-3),2,10,0,0,0,0,0
U-135(5-3-3),1,4,0,0,0,0,0
U-136(5-3-3),1,7,0,0,0,0,0
U-137(5-3-3),3,6,0,0,0,0,0
U-138(5-3-3),2,8,0,0,0,0,0
U-139(5-3-3),0,0,0,0,0,0,0
U-140(5-3-3),3,14,0,0,0,0,0
U-141(5-3-3),2,6,0,0,0,0,0
U-142(5-3-3),1,11,1,0,0,0,0
U-143(5-3-3),0,0,0,0,0,0,0
U-144(5-3-3),3,12,0,0,0,0,0
U-145(5-3-3),0,0,0,0,0,0,0
U-146(5-3-3),2,13,0,0,0,0,0
U-147(5-3-3),2,7,0,0,0,0,0
U-148(5-3-3),2,11,0,0,0,0,0
U-149(5-3-3),1,4,0,0,0,0,0
U-150(5-3-3),1,4,0,0,0,0,0
U-151(5-3-3),1,10,0,0,0,0,0
U-152(5-3-3),0,0,0,0,0,0,0
U-153(5-3-3),0,0,1,0,0,0,0
U-154(5-3-3),3,10,0,0,0,0,0
U-155(5-3-3),0,0,1,0,0,0,0
U-156(5-3-3),1,5,0,0,1,0,0
U-157(5-3-3),3,8,0,0,0,0,0
U-158(5-3-3),4,14,0,0,0,0,0
U-159(5-3-3),3,13,0,0,0,0,0
U-160(5-3-3),1,5,0,0,0,0,0
U-161(5-3-3),2,14,0,0,0,0,0
U-162(5-3-3),1,8,0,0,0,0,0
U-163(5-3-3),0,0,0,0,0,0,0
U-164(5-3-3),1,12,0,0,0,0,0
U-165(5-3-3),1,10,0,0,0,0,0
U-166(5-3-3),0,0,0,0,0,0,0
U-167(5-3-3),1,5,0,1,0,0,0
U-168(5-3-3),2,8,0,0,0,0,0
U-169(5-3-3),0,0,0,0,0,0,0
U-170(5-3-3),3,10,0,0,0,0,0
U-171(5-3-3),1,7,0,0,0,0,0
U-172(5-3-3),2,6,0,0,0,0,0
U-173(5-3-3),0,0,0,0,0,0,0
U-174(5-3-3),2,9,0,0,0,0,0
U-175(5-3-3),0,0,0,0,0,0,0
U-176(5-3-3),0,0,0,0,0,0,0
U-177(5-3-3),0,0,0,0,0,0,0
U-178(5-3-3),1,7,0,0,0,0,0
U-179(5-3-3),0,0,0,0,0,0,0
U-180(5-3-3),2,13,0,0,0,0,0
U-181(5-3-3),1,2,0,0,0,0,0
U-182(5-3-3),1,5,0,0,0,0,0
U-183(5-3-3),3,19,0,0,0,0,0
U-184(5-3-3),2,9,0,0,0,0,0
U-185(5-3-3),1,5,0,0,0,0,0
U-186(5-3-3),2,10,0,0,0,0,0
U-187(5-3-3),2,11,0,0,0,0,0
U-188(5-3-3),0,0,0,0,0,0,0
U-189(5-3-3),2,10,0,0,0,0,0
U-190(5-3-3),0,0,0,0,0,0,0
U-191(5-3-3),3,14,0,0,0,0,0
U-192(5-3-3),0,0,0,0,0,0,0
U-193(5-3-3),0,0,1,0,0,1,1
U-194(5-3-3),1,2,0,0,0,0,0
U-195(5-3-3),2,14,0,0,0,0,0
U-196(5-3-3),3,21,0,0,0,0,0
U-197(5-3-3),0,0,0,0,0,0,0
U-198(5-3-3),1,10,0,0,0,0,0
U-199(5-3-3),2,10,0,0,0,0,0
U-200(5-3-3),1,3,0,0,0,0,0
U-201(5-3-3),1,5,0,0,0,0,0
U-202(5-3-3),0,0,1,0,0,0,0
U-203(5-3-3),0,0,0,0,0,0,0
U-204(5-3-3),0,0,0,0,0,0,0
U-205(5-3-3),1,3,0,0,0,0,0
U-206(5-3-3),0,0,0,0,0,0,0
U-207(5-3-3),3,18,0,0,0,0,0
U-208(5-3-3),0,0,0,0,0,0,0
U-209(5-3-3),3,36,0,0,0,0,0
U-210(5-3-3),1,4,0,0,0,0,0
U-211(5-3-3),0,0,0,0,0,0,0
U-212(5-3-3),0,0,0,0,0,0,0
U-213(5-3-3),0,0,1,0,0,0,0
U-214(5-3-3),1,2,0,0,0,0,0
U-215(5-3-3),1,5,0,0,0,0,0
U-216(5-3-3),1,5,0,0,0,0,0
U-217(5-3-3),3,14,0,0,0,0,0
U-218(5-3-3),1,8,0,0,0,0,0
U-219(5-3-3),1,5,0,0,0,0,0
U-220(5-3-3),3,21,0,0,0,0,0
U-221(5-3-3),1,5,0,0,0,0,0
U-222(5-3-3),1,10,0,0,0,0,0
U-223(5-3-3),1,5,1,0,0,0,0
U-224(5-3-3),2,13,0,0,0,0,0
U-225(5-3-3),2,10,0,0,0,0,0
U-226(5-3-3),1,10,0,0,0,0,0
U-227(5-3-3),0,0,0,0,0,0,0
U-228(5-3-3),0,0,1,0,0,0,0
U-229(5-3-3),2,11,0,0,0,0,0
U-230(5-3-3),0,0,0,0,0,0,0
